EmployeeID,FirstName,LastName,Position,SupervisorID,Department,Salary,HireDate,TheftFlag,AmountStolen
102,Laurie,Bright,Employee,126.0,Finance,6185,2024-10-03,0,0
103,Scott,Ward,Employee,101.0,Marketing,8039,2020-09-15,0,0
104,Anthony,Reid,Employee,65.0,IT,8677,2022-03-17,0,0
105,Karen,Davis,Employee,30.0,Marketing,9007,2022-06-13,0,0
106,Autumn,Robinson,Employee,150.0,Marketing,8944,2015-08-25,0,0
107,Heidi,Gomez,Employee,18.0,HR,8677,2022-01-14,0,0
108,Robin,Guzman,Employee,153.0,Finance,6019,2018-06-17,0,0
109,Laura,Lopez,Employee,55.0,Sales,8077,2015-03-20,0,0
110,Kenneth,Brooks,Employee,143.0,Finance,5132,2015-09-16,0,0
111,Karen,Ward,Supervisor,,Sales,5990,2020-10-31,0,0
112,Michael,Jones,Employee,94.0,Operations,4807,2024-07-21,0,0
113,Lisa,Perkins,Employee,45.0,Operations,4444,2020-02-05,0,0
114,Abigail,Miller,Employee,126.0,IT,6173,2020-10-07,0,0
115,Russell,Lopez,Employee,130.0,Operations,7814,2020-06-14,0,0
116,Kyle,Allen,Supervisor,,Marketing,6861,2016-08-30,0,0
117,Calvin,Hall,Employee,92.0,Operations,9774,2022-10-30,1,16853
118,Robert,Trujillo,Employee,16.0,Operations,8382,2021-12-01,0,0
119,Hector,Lowery,Employee,78.0,IT,5654,2022-06-30,0,0
120,Martin,Rodriguez,Employee,147.0,Marketing,9287,2024-04-10,0,0
121,Mercedes,Payne,Supervisor,,Sales,6627,2019-12-03,0,0
122,David,Kim,Employee,24.0,HR,5720,2022-05-12,1,18694
123,Christopher,Barnett,Employee,200.0,HR,9266,2022-07-18,0,0
124,Heather,Lawrence,Supervisor,,Sales,6852,2020-05-30,0,0
125,April,Callahan,Employee,189.0,HR,7915,2023-07-20,0,0
126,Jessica,Robinson,Employee,2.0,IT,9014,2018-06-04,0,0
127,Dawn,Giles,Employee,152.0,Marketing,4677,2019-12-08,0,0
128,Michael,Howell,Employee,13.0,Sales,4943,2017-10-12,0,0
129,James,Tyler,Employee,41.0,Operations,5243,2015-01-22,0,0
130,Brian,Cooper,Employee,120.0,Operations,9737,2019-07-16,1,13438
131,Sara,Li,Employee,198.0,HR,4438,2017-09-13,0,0
132,Autumn,Mcmahon,Employee,104.0,IT,4949,2018-03-03,0,0
133,Diana,Wilson,Employee,185.0,HR,4342,2020-04-24,0,0
134,Jane,Lynch,Employee,191.0,HR,9922,2023-11-29,0,0
135,Teresa,Brooks,Supervisor,,Marketing,6037,2024-06-02,0,0
136,Autumn,Baker,Employee,147.0,Operations,5753,2019-05-20,0,0
137,Lisa,Franklin,Employee,4.0,Marketing,6763,2022-11-27,0,0
138,Andrew,Allen,Employee,199.0,Marketing,9329,2020-08-31,1,9878
139,Susan,Sims,Employee,24.0,HR,6310,2020-10-27,0,0
140,Lisa,Mercer,Employee,135.0,Sales,9595,2019-04-15,0,0
141,Regina,Gibson,Employee,84.0,Finance,4071,2023-01-24,0,0
142,Tina,Howard,Supervisor,,HR,8885,2024-07-21,0,0
143,Brian,Bruce,Employee,94.0,Sales,5586,2021-03-25,0,0
144,Jacqueline,Hogan,Supervisor,,Finance,9911,2022-04-28,0,0
145,Justin,Obrien,Employee,55.0,Operations,9367,2018-01-09,0,0
146,John,King,Employee,200.0,Sales,8884,2015-07-03,0,0
147,Melanie,White,Employee,59.0,Marketing,4139,2021-01-04,0,0
148,Sarah,Rodriguez,Supervisor,,IT,5162,2016-10-17,0,0
149,Kevin,Sullivan,Employee,94.0,Finance,8503,2024-12-09,0,0
150,Kelly,Grant,Employee,67.0,HR,5736,2020-02-23,0,0
151,Bryan,Kim,Supervisor,,Operations,5279,2019-08-05,0,0
152,Veronica,Murphy,Supervisor,,IT,7460,2019-05-26,0,0
153,Emily,Wolf,Employee,72.0,Marketing,5890,2019-11-25,0,0
154,Frances,Evans,Employee,185.0,Sales,9074,2018-12-10,0,0
155,Gregory,Nguyen,Employee,152.0,IT,7532,2018-06-15,0,0
156,Danielle,Alvarez,Employee,73.0,HR,5064,2016-04-10,0,0
157,Jessica,Jones,Employee,41.0,IT,6804,2020-03-02,0,0
158,Joshua,Mccormick,Employee,57.0,Operations,9175,2018-07-27,0,0
159,Joseph,Jackson,Employee,32.0,Finance,4265,2017-07-08,0,0
160,Kevin,Hamilton,Employee,197.0,Finance,7322,2020-10-13,1,18495
161,Chelsea,Snyder,Employee,160.0,Finance,7466,2022-07-01,1,10101
162,Leslie,Johnson,Employee,90.0,Marketing,8834,2022-06-11,0,0
163,Samantha,Hansen,Employee,123.0,Marketing,5412,2021-08-19,1,8233
164,Michael,Anderson,Employee,1.0,HR,6057,2024-04-08,0,0
165,Samantha,Compton,Employee,132.0,Sales,4486,2017-05-26,0,0
166,Andrew,Mueller,Employee,189.0,HR,4218,2023-07-03,0,0
167,Lisa,Villarreal,Employee,103.0,Sales,5882,2018-02-16,0,0
168,Carlos,Nguyen,Employee,133.0,IT,8005,2024-12-16,0,0
169,David,Burnett,Employee,187.0,IT,8234,2019-03-26,0,0
170,Michael,Gilbert,Employee,8.0,Marketing,4879,2024-10-31,0,0
171,Jennifer,Sanders,Supervisor,,IT,6807,2020-07-06,0,0
172,Jamie,Thomas,Employee,116.0,HR,8164,2016-11-27,0,0
173,Ronnie,Mullins,Employee,86.0,IT,7784,2016-12-03,0,0
174,Maria,Patterson,Employee,136.0,IT,6357,2023-05-26,0,0
175,Nicole,Martinez,Supervisor,,Marketing,6459,2015-04-17,0,0
176,Dustin,Martin,Employee,5.0,IT,9767,2016-02-16,0,0
177,Duane,Smith,Employee,136.0,HR,6858,2021-04-24,0,0
178,Laura,Luna,Employee,153.0,Marketing,7489,2016-04-23,0,0
179,Leslie,Decker,Employee,2.0,IT,5675,2016-12-26,0,0
180,Chad,Sullivan,Employee,41.0,Operations,5641,2018-11-25,0,0
181,Amy,Byrd,Employee,101.0,Marketing,6082,2021-08-20,0,0
182,Mark,Smith,Employee,17.0,HR,4646,2020-08-04,0,0
183,Julie,Stone,Employee,9.0,HR,9730,2017-12-24,1,621
184,Alexander,Copeland,Employee,26.0,Finance,7301,2021-02-17,0,0
185,Sierra,Cole,Employee,194.0,Finance,9135,2018-04-05,0,0
186,Jennifer,Huffman,Employee,125.0,IT,4414,2025-01-08,0,0
187,Charles,Tucker,Employee,192.0,IT,6066,2022-05-24,0,0
188,Bonnie,Brown,Employee,142.0,Sales,5932,2019-07-21,0,0
189,Michael,Whitaker,Employee,182.0,Operations,8611,2024-11-06,0,0
190,John,Smith,Employee,64.0,Finance,8703,2018-06-11,0,0
191,Frank,Levy,Employee,45.0,Operations,4538,2020-10-02,0,0
192,Lauren,Novak,Employee,151.0,Sales,8987,2024-06-01,0,0
193,William,Davis,Employee,156.0,Sales,8070,2023-09-09,1,12943
194,Karen,Perez,Employee,17.0,Marketing,9233,2023-07-09,0,0
195,Sarah,Walker,Employee,107.0,Sales,7596,2019-12-27,0,0
196,Amy,Russell,Employee,98.0,Sales,6397,2022-09-17,0,0
197,Ryan,Smith,Supervisor,,HR,5771,2024-05-22,0,0
198,Timothy,Simmons,Supervisor,,Marketing,7931,2016-12-14,0,0
199,Tiffany,Dodson,Employee,54.0,HR,6640,2022-12-22,0,0
200,Christopher,Decker,Employee,75.0,Sales,9486,2016-09-04,0,0
201,Troy,Johnson,Employee,4.0,IT,9001,2021-01-02,0,0
202,Kelly,Moore,Employee,7.0,Finance,5352,2016-08-29,1,4573
203,Jonathan,Roberts,Employee,139.0,IT,8223,2016-11-23,0,0
204,Jesse,Green,Employee,41.0,IT,4729,2023-08-29,0,0
205,Joseph,Fuller,Employee,170.0,Operations,4224,2022-07-28,0,0
206,Danielle,Lucero,Employee,61.0,IT,8470,2020-10-29,1,2742
207,Jaime,Baker,Employee,153.0,Operations,9039,2020-05-27,0,0
208,Shaun,Woodard,Employee,22.0,Sales,7674,2022-11-23,1,3668
209,Jo,Reed,Supervisor,,IT,9987,2020-12-04,0,0
210,Terri,Russo,Employee,8.0,Sales,6373,2015-07-20,1,16653
211,Tammy,David,Employee,78.0,IT,8477,2019-02-28,1,8520
212,Erica,Henderson,Employee,92.0,HR,4985,2018-11-16,0,0
213,Darius,Garcia,Employee,113.0,Operations,5909,2017-05-24,0,0
214,Jerry,Haley,Supervisor,,Finance,7585,2021-12-21,1,17665
215,Janice,Perez,Employee,108.0,IT,6125,2017-02-01,0,0
216,Kelly,Jennings,Employee,47.0,Marketing,9460,2016-02-05,0,0
217,Maria,Brown,Employee,153.0,Marketing,8615,2018-01-15,0,0
218,Todd,Dunn,Employee,41.0,Operations,9472,2023-10-23,0,0
219,Joshua,Wilcox,Employee,70.0,Marketing,9524,2020-02-02,0,0
220,Jesse,Gonzalez,Employee,130.0,Sales,9492,2017-06-23,0,0
221,Kimberly,Lucas,Employee,172.0,Operations,7212,2022-09-05,0,0
222,Darius,Hobbs,Supervisor,,Marketing,9444,2023-11-15,0,0
223,Elizabeth,Miller,Employee,31.0,Sales,6905,2017-03-06,0,0
224,Frank,Hernandez,Employee,91.0,IT,8759,2021-07-16,0,0
225,William,Fischer,Employee,46.0,Marketing,8520,2022-02-03,0,0
226,Justin,Savage,Employee,58.0,Operations,9660,2016-06-22,0,0
227,Henry,Perez,Employee,118.0,Marketing,6900,2018-05-22,0,0
228,Rebecca,Dorsey,Employee,47.0,Operations,9488,2020-08-14,0,0
229,Alexa,Cobb,Employee,157.0,IT,8954,2018-05-22,1,9274
230,Carolyn,Cobb,Employee,157.0,Sales,6036,2016-03-20,0,0
231,Robert,Mcdonald,Employee,39.0,Finance,7711,2015-06-17,0,0
232,Stephen,Brown,Employee,27.0,IT,5252,2022-11-20,0,0
233,Susan,Dyer,Employee,63.0,HR,6912,2015-11-07,0,0
234,Sarah,Booth,Employee,33.0,Marketing,6254,2015-03-05,0,0
235,Heather,Coleman,Employee,103.0,Sales,5818,2017-08-21,0,0
236,Tina,Daniels,Employee,112.0,Sales,5867,2022-11-17,0,0
237,Heather,Oneill,Employee,193.0,Finance,7237,2021-01-06,0,0
238,Michael,Lawrence,Employee,6.0,Sales,8716,2023-08-29,0,0
239,Gina,Miller,Employee,55.0,IT,4730,2019-03-21,0,0
240,Katherine,Moody,Supervisor,,IT,8804,2019-07-11,1,8135
241,William,Romero,Employee,53.0,Sales,9243,2020-07-23,0,0
242,Donna,Estrada,Employee,185.0,IT,5905,2019-03-20,0,0
243,Amanda,Simpson,Employee,64.0,IT,6799,2023-12-29,0,0
244,Tiffany,Gutierrez,Employee,25.0,Finance,6631,2024-09-21,0,0
245,William,Soto,Employee,72.0,Operations,4179,2020-01-19,1,11806
246,Maria,Jackson,Employee,158.0,Marketing,5184,2016-08-14,0,0
247,Austin,Wells,Employee,50.0,Finance,9327,2018-12-03,0,0
248,Janice,Scott,Employee,107.0,Finance,4231,2022-07-02,0,0
249,Megan,Mack,Employee,124.0,IT,7850,2022-07-27,0,0
250,Monica,Johnson,Supervisor,,Operations,4535,2024-02-03,0,0
251,Jeffery,Boyle,Employee,193.0,Finance,8870,2022-01-05,0,0
252,James,Jones,Employee,187.0,IT,8478,2020-08-17,0,0
253,Jack,Graham,Employee,38.0,Marketing,7782,2016-03-01,0,0
254,Daniel,Reese,Employee,133.0,IT,7627,2017-07-01,0,0
255,Lance,Wallace,Employee,160.0,IT,5855,2016-03-01,0,0
256,Austin,Manning,Employee,68.0,Marketing,9133,2015-02-04,0,0
257,Amber,Hopkins,Employee,64.0,Sales,9432,2017-03-24,0,0
258,Brandi,Anderson,Employee,141.0,Sales,7242,2017-06-26,0,0
259,Dana,Harding,Employee,177.0,Sales,7122,2017-02-05,0,0
260,Jason,Castro,Supervisor,,IT,6681,2015-07-14,0,0
261,Chase,Barrett,Employee,32.0,Finance,9405,2022-07-19,0,0
262,Jessica,Lewis,Employee,15.0,Operations,8907,2021-02-07,0,0
263,Kelly,Zuniga,Employee,98.0,Marketing,6959,2023-12-09,0,0
264,Kevin,Garcia,Supervisor,,IT,6877,2019-10-21,0,0
265,Sally,Becker,Employee,59.0,Marketing,9593,2015-05-19,0,0
266,John,Steele,Employee,54.0,Sales,8548,2021-07-12,0,0
267,Christopher,Hall,Employee,26.0,HR,7365,2020-02-16,1,4121
268,Bruce,Moore,Employee,15.0,Finance,6684,2023-11-22,0,0
269,Kenneth,Bauer,Employee,168.0,IT,4402,2020-05-22,0,0
270,Stacey,Rowe,Employee,149.0,Finance,5113,2020-05-07,0,0
271,Leslie,Wright,Employee,175.0,IT,6402,2018-05-14,1,12289
272,Joseph,Moore,Supervisor,,Operations,8560,2022-09-19,0,0
273,David,Avery,Employee,112.0,Marketing,4409,2024-04-17,0,0
274,Amanda,Allen,Employee,94.0,IT,6545,2020-01-23,0,0
275,Daniel,Padilla,Employee,8.0,Marketing,6784,2017-10-21,0,0
276,Dawn,Walker,Employee,130.0,Finance,6612,2020-04-22,1,6300
277,Taylor,Rivera,Employee,95.0,IT,7482,2024-05-08,0,0
278,Paul,Brown,Employee,163.0,Marketing,7123,2020-05-25,0,0
279,Wendy,Smith,Employee,14.0,Marketing,6756,2019-09-14,0,0
280,Ashley,Parrish,Employee,89.0,Operations,6736,2019-06-06,0,0
281,Rachel,Morris,Employee,173.0,IT,4075,2019-02-15,0,0
282,Phillip,Williams,Employee,76.0,HR,4970,2015-08-07,0,0
283,Michele,Reyes,Employee,178.0,Marketing,7507,2021-03-14,1,15675
284,James,Dean,Employee,81.0,Finance,7286,2017-08-25,0,0
285,Sylvia,Espinoza,Employee,46.0,Marketing,4227,2020-02-14,0,0
286,Jacob,Montgomery,Employee,129.0,IT,4756,2020-09-10,0,0
287,Henry,Owens,Employee,164.0,Finance,8369,2018-09-28,0,0
288,Veronica,White,Employee,138.0,IT,4050,2020-03-12,0,0
289,Destiny,Moon,Employee,102.0,Marketing,8823,2024-08-12,0,0
290,Julie,Hopkins,Employee,21.0,Marketing,8577,2018-06-20,0,0
291,Anthony,Santiago,Employee,4.0,Sales,6935,2021-12-26,0,0
292,Ronald,Watson,Supervisor,,Finance,7654,2021-09-06,0,0
293,Gregory,Schwartz,Employee,109.0,Finance,5344,2015-06-26,0,0
294,Paul,Garcia,Employee,53.0,Operations,4908,2021-03-30,1,1752
295,Michael,Harper,Employee,111.0,HR,7921,2022-01-17,0,0
296,Joseph,Sanders,Employee,193.0,Sales,9976,2025-01-06,0,0
297,Andrew,Moon,Employee,163.0,Marketing,8539,2021-12-17,0,0
298,Nicole,Atkinson,Employee,33.0,Finance,8211,2017-09-25,0,0
299,Jessica,Braun,Employee,129.0,Sales,9691,2024-03-01,0,0
300,Yvette,Duffy,Employee,69.0,Finance,6965,2016-11-17,0,0
301,Felicia,Lang,Employee,168.0,Operations,7516,2022-04-25,0,0
302,Jonathan,Wilson,Employee,38.0,Operations,7827,2016-08-03,0,0
303,Adrian,Chapman,Supervisor,,IT,4912,2016-11-18,0,0
304,Alan,Evans,Employee,138.0,Operations,7665,2015-05-30,0,0
305,Kayla,Patterson,Employee,116.0,Operations,9988,2017-12-30,1,2780
306,Jessica,Nichols,Employee,76.0,Marketing,5689,2017-07-18,0,0
307,Aaron,Fox,Employee,8.0,Operations,5362,2016-01-15,0,0
308,Craig,Arroyo,Employee,44.0,Sales,8414,2024-01-27,0,0
309,Craig,Brown,Employee,168.0,Marketing,6896,2020-11-15,0,0
310,Kelly,Benjamin,Employee,64.0,IT,8970,2017-01-15,0,0
311,Christina,Morales,Employee,50.0,Finance,6694,2020-03-22,0,0
312,Ashley,Wilson,Employee,140.0,Sales,5880,2016-05-07,0,0
313,Robert,Davidson,Employee,59.0,HR,6185,2017-09-06,0,0
314,Beth,Rowe,Employee,180.0,HR,6503,2020-04-02,0,0
315,David,Curry,Employee,184.0,Operations,4850,2019-11-09,0,0
316,Clifford,Schultz,Supervisor,,Marketing,7884,2024-05-17,0,0
317,Candice,Phelps,Employee,45.0,IT,7481,2024-06-04,0,0
318,Kirk,Cooper,Employee,68.0,Finance,9488,2019-10-13,1,8573
319,Wendy,Williams,Employee,93.0,Sales,5722,2020-09-15,0,0
320,Amanda,Ross,Employee,116.0,Marketing,8937,2015-07-07,0,0
321,Katherine,Nichols,Employee,176.0,Sales,4877,2018-09-24,0,0
322,Megan,Lewis,Employee,165.0,Operations,9484,2024-02-21,0,0
323,Cynthia,Morales,Employee,129.0,HR,8396,2024-03-24,0,0
324,Victoria,Lopez,Employee,160.0,Finance,8414,2016-02-19,0,0
325,Trevor,Marsh,Employee,199.0,Marketing,8803,2015-03-21,0,0
326,Kevin,Bradford,Employee,81.0,Operations,8905,2021-03-14,0,0
327,Jennifer,Miller,Employee,27.0,Operations,5088,2021-09-26,0,0
328,Jennifer,Harrington,Employee,97.0,Marketing,9578,2017-11-19,0,0
329,Christopher,Olson,Employee,192.0,IT,9971,2016-11-11,1,17709
330,Monica,Medina,Supervisor,,Operations,6069,2020-12-11,0,0
331,Jonathan,Edwards,Employee,152.0,HR,8560,2018-04-30,0,0
332,Anthony,Ellis,Employee,27.0,Sales,5928,2019-07-13,0,0
333,Louis,Robinson,Employee,128.0,IT,9292,2016-05-14,0,0
334,Daniel,Nixon,Employee,45.0,HR,8641,2023-06-23,0,0
335,Maria,Gonzalez,Employee,143.0,Sales,4404,2015-12-07,0,0
336,Jon,Macias,Supervisor,,HR,5193,2022-08-28,0,0
337,Jennifer,Burke,Employee,1.0,IT,5516,2024-11-14,0,0
338,Jessica,Curtis,Employee,112.0,Operations,8276,2023-10-01,0,0
339,Patrick,Hurst,Employee,162.0,IT,4244,2015-10-18,0,0
340,Austin,Marshall,Employee,99.0,Sales,9543,2023-07-14,0,0
341,Jeffrey,Smith,Employee,49.0,Sales,4684,2022-07-23,0,0
342,Kevin,Daugherty,Employee,186.0,IT,6365,2017-03-06,0,0
343,Lisa,Smith,Employee,165.0,Sales,6370,2024-02-24,1,7994
344,Brian,Gutierrez,Supervisor,,Sales,8180,2021-11-04,0,0
345,Margaret,Shields,Employee,197.0,Finance,7449,2017-06-01,0,0
346,Cindy,Suarez,Supervisor,,Operations,5132,2021-11-11,0,0
347,Matthew,Hunt,Employee,26.0,Sales,6591,2017-09-12,0,0
348,Bonnie,Brown,Employee,193.0,HR,4138,2016-07-12,0,0
349,Randy,Grimes,Employee,72.0,HR,4028,2024-11-12,0,0
350,Anthony,Brandt,Supervisor,,Operations,8819,2022-12-21,0,0
351,David,May,Employee,112.0,Finance,4160,2024-09-15,1,1509
352,Christopher,Davis,Employee,24.0,Operations,7194,2024-12-05,0,0
353,Leslie,Becker,Employee,23.0,Operations,7219,2015-11-18,1,9800
354,Debbie,Robbins,Employee,115.0,Operations,5841,2017-11-07,1,51
355,Christine,Summers,Employee,152.0,IT,7267,2021-07-13,0,0
356,John,Barton,Employee,158.0,Sales,7845,2019-08-11,0,0
357,Kelly,Garrett,Employee,141.0,Sales,5594,2015-12-30,0,0
358,Richard,Mosley,Employee,186.0,Sales,5153,2017-08-30,0,0
359,Victoria,Garza,Employee,156.0,Sales,7319,2021-10-07,0,0
360,Rachel,Richardson,Employee,111.0,IT,8325,2020-12-15,0,0
361,Chad,Parsons,Employee,121.0,Sales,9204,2017-08-17,0,0
362,Veronica,Brown,Employee,158.0,Operations,9410,2024-01-16,0,0
363,Kathryn,Parker,Employee,110.0,IT,7039,2019-09-25,0,0
364,Evelyn,Wood,Employee,97.0,Marketing,4635,2018-09-13,0,0
365,Wendy,Stephens,Employee,23.0,Sales,5939,2016-09-08,0,0
366,John,Dickerson,Employee,162.0,Operations,6936,2024-11-24,0,0
367,Nicholas,Hampton,Employee,78.0,Sales,5530,2017-08-12,0,0
368,Kyle,Jackson,Supervisor,,Sales,4047,2016-12-05,0,0
369,Sandra,Thomas,Supervisor,,Sales,7019,2017-01-21,1,2386
370,Jessica,Perez,Employee,31.0,Finance,6749,2022-05-06,0,0
371,Joseph,Houston,Employee,172.0,Marketing,6382,2018-06-01,0,0
372,Rhonda,Hickman,Employee,48.0,Marketing,6431,2018-08-13,0,0
373,Cheryl,Riley,Employee,166.0,IT,8438,2022-07-21,0,0
374,Michael,Bauer,Employee,152.0,Finance,4752,2017-08-17,0,0
375,Karen,Martinez,Employee,42.0,HR,7569,2023-01-31,0,0
